Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.765824,0.15363,0.576723,-0.239381,-72.649727,151.319061,-49.543999,-0.738263,-0.097238,-0.167676,0.646063,-72.895157,118.193481,-43.27684,-0.770268,-0.186834,-0.144742,0.592308,-71.233932,95.988327,-37.708328,0.952253,0.187841,0.110668,-0.213737,-12.084004,154.385513,76.307716,0.471791,-0.32669,0.208201,0.792047,-16.946703,123.300659,90.032494,0.587227,-0.269665,0.10502,0.755921,-23.226967,98.388565,92.932388
0.008,0.765662,0.152909,0.577544,-0.238377,-72.722656,151.310898,-49.513638,-0.738434,-0.097058,-0.166476,0.646205,-72.963089,118.165253,-43.289021,-0.769972,-0.184315,-0.144497,0.593541,-71.301613,95.999641,-37.71431,0.952597,0.18689,0.109139,-0.213823,-12.039707,154.412308,76.303955,0.472626,-0.325542,0.208392,0.791972,-16.883026,123.319366,90.049614,0.587115,-0.267756,0.102071,0.757089,-23.212267,98.443871,92.988602
0.016,0.765714,0.152474,0.577628,-0.238284,-72.787949,151.303101,-49.48542,-0.738236,-0.097396,-0.165689,0.646582,-73.033752,118.154892,-43.296886,-0.769467,-0.183808,-0.144012,0.594472,-71.364777,95.987175,-37.738316,0.952907,0.185801,0.107818,-0.21406,-12.005755,154.439896,76.300377,0.473587,-0.323856,0.206385,0.792615,-16.833986,123.35775,90.07766,0.587316,-0.267267,0.100177,0.757359,-23.177614,98.497238,93.025932
0.025,0.766024,0.151246,0.577048,-0.239474,-72.867058,151.310547,-49.434574,-0.737484,-0.096281,-0.167841,0.647053,-73.112419,118.155777,-43.302597,-0.769107,-0.185215,-0.144406,0.594405,-71.43541,95.969681,-37.766277,0.953387,0.184961,0.106449,-0.213334,-11.972954,154.472824,76.304482,0.474631,-0.321794,0.204789,0.793243,-16.773003,123.397614,90.1119,0.587695,-0.265831,0.098804,0.757751,-23.145622,98.536774,93.06916
0.033,0.765378,0.151292,0.577711,-0.23991,-72.936897,151.304596,-49.398045,-0.736999,-0.096636,-0.16791,0.647534,-73.171913,118.148979,-43.293983,-0.768749,-0.185312,-0.144013,0.594932,-71.489288,95.948936,-37.791748,0.953574,0.183675,0.105175,-0.214239,-11.951647,154.518265,76.306938,0.476997,-0.320055,0.200441,0.793639,-16.731739,123.459686,90.143257,0.587296,-0.265824,0.097992,0.758168,-23.12528,98.579948,93.093269
0.041,0.76527,0.151611,0.577531,-0.240489,-73.023834,151.291794,-49.362354,-0.736824,-0.096736,-0.167434,0.647841,-73.235428,118.130768,-43.293468,-0.768397,-0.184644,-0.14385,0.595634,-71.55162,95.93145,-37.817036,0.953715,0.18328,0.104555,-0.214254,-11.932712,154.558975,76.30098,0.477533,-0.319386,0.199409,0.793846,-16.675516,123.49894,90.165794,0.587265,-0.266199,0.096897,0.758201,-23.102791,98.630646,93.110474
0.05,0.765388,0.151194,0.577269,-0.241,-73.09745,151.281784,-49.327999,-0.736907,-0.096694,-0.167255,0.647799,-73.321701,118.116638,-43.306282,-0.768299,-0.18389,-0.143622,0.596049,-71.627228,95.910896,-37.848999,0.95396,0.182947,0.104171,-0.213634,-11.913969,154.606186,76.295837,0.478214,-0.318368,0.196757,0.794506,-16.624361,123.557297,90.195862,0.58734,-0.266041,0.095371,0.758392,-23.090696,98.694839,93.131653
0.058,0.765399,0.151285,0.576621,-0.242459,-73.170975,151.279831,-49.288918,-0.736977,-0.096273,-0.168312,0.647508,-73.391373,118.104134,-43.303551,-0.768609,-0.184431,-0.143611,0.595484,-71.687683,95.892395,-37.872322,0.954148,0.182916,0.103725,-0.213037,-11.897845,154.645844,76.293602,0.478399,-0.317487,0.196229,0.794878,-16.575394,123.593735,90.21743,0.58744,-0.266007,0.094587,0.758424,-23.083542,98.747162,93.146805
0.066,0.764822,0.150499,0.577394,-0.242927,-73.251984,151.277176,-49.244076,-0.736953,-0.096338,-0.168792,0.647402,-73.452721,118.096413,-43.300133,-0.768114,-0.184301,-0.143301,0.596237,-71.734581,95.868584,-37.898903,0.954341,0.183168,0.103221,-0.212199,-11.878851,154.684509,76.295212,0.47629,-0.318352,0.196565,0.795715,-16.53282,123.641502,90.239975,0.587701,-0.266119,0.0936,0.758305,-23.087954,98.801071,93.159691
0.075,0.76487,0.150235,0.577117,-0.243594,-73.343124,151.261169,-49.194977,-0.736893,-0.096888,-0.167952,0.647606,-73.520462,118.078911,-43.294041,-0.767449,-0.184637,-0.14302,0.597056,-71.790001,95.845497,-37.926411,0.954563,0.183504,0.102747,-0.211139,-11.867488,154.732208,76.29245,0.475842,-0.318325,0.196366,0.796042,-16.489262,123.685326,90.258652,0.587449,-0.266455,0.092029,0.758575,-23.098957,98.861923,93.172676
