Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,-0.360874,-0.23835,0.900296,0.049255,-85.663429,150.553543,0.792239,-0.247325,-0.462634,0.851119,0.019914,-97.783569,119.120193,11.14209,0.845745,0.294392,0.086698,-0.436501,-94.757561,98.616371,25.25112,0.704289,-0.254381,0.657721,0.081671,-53.520031,148.475708,-16.38434,0.326616,0.519577,-0.470205,0.634247,-41.49559,114.646805,-16.401678,0.338811,0.777111,0.454371,-0.273593,-40.007484,97.524246,-1.70362
0.008,-0.360354,-0.240524,0.899931,0.049168,-85.715576,150.568298,0.777814,-0.248501,-0.456781,0.853997,0.016951,-97.924606,119.290474,11.355615,0.849373,0.295808,0.084447,-0.428872,-94.923523,99.047066,25.825781,0.702838,-0.252387,0.660374,0.078911,-53.508385,148.489441,-16.286503,0.325956,0.516176,-0.465453,0.640834,-41.225536,114.811935,-15.887341,0.334923,0.782665,0.451224,-0.267691,-39.821823,97.864326,-0.983487
0.016,-0.361046,-0.239436,0.899957,0.048914,-85.748962,150.576706,0.730933,-0.249943,-0.451384,0.856496,0.013957,-98.058311,119.444946,11.573584,0.853176,0.29759,0.082281,-0.42043,-95.064789,99.477997,26.38933,0.701087,-0.250457,0.66337,0.07542,-53.490646,148.509613,-16.181238,0.324685,0.511655,-0.465647,0.644951,-40.925777,114.994492,-15.35084,0.32567,0.791414,0.446067,-0.261969,-39.647217,98.20298,-0.217036
0.025,-0.36432,-0.235823,0.899634,0.048136,-85.780678,150.593109,0.650609,-0.251292,-0.44708,0.858411,0.010179,-98.195747,119.631622,11.80836,0.857174,0.298212,0.080313,-0.412155,-95.235527,99.972504,27.027611,0.699787,-0.249697,0.665381,0.072239,-53.465252,148.513718,-16.026766,0.320766,0.506558,-0.463315,0.65257,-40.603073,115.200996,-14.762971,0.311725,0.802892,0.439923,-0.254281,-39.459114,98.619217,0.666574
0.033,-0.367404,-0.234421,0.898843,0.046284,-85.836586,150.590698,0.601426,-0.251299,-0.44399,0.860034,0.007945,-98.299828,119.800568,12.026845,0.861213,0.298296,0.077386,-0.404156,-95.362473,100.429321,27.583235,0.696846,-0.250135,0.668426,0.071036,-53.443069,148.522766,-15.8914,0.319366,0.501112,-0.460561,0.659375,-40.307529,115.380203,-14.231994,0.305855,0.805945,0.444371,-0.243803,-39.350544,98.948441,1.431701
0.041,-0.370583,-0.233418,0.897873,0.044827,-85.90126,150.595657,0.562588,-0.25266,-0.439536,0.86194,0.005567,-98.421135,119.967102,12.245072,0.865411,0.298102,0.074714,-0.395748,-95.492188,100.884331,28.135019,0.695977,-0.24922,0.669988,0.06798,-53.457962,148.588943,-15.788792,0.316698,0.49638,-0.457393,0.66641,-40.023632,115.53067,-13.721378,0.293909,0.81604,0.437838,-0.236629,-39.091827,99.357117,2.171355
0.05,-0.372719,-0.232962,0.897123,0.044495,-85.948112,150.601852,0.512686,-0.2546,-0.434492,0.863937,0.002838,-98.560135,120.165924,12.485339,0.869854,0.298622,0.072129,-0.385974,-95.649216,101.430344,28.764856,0.69278,-0.251429,0.672401,0.068678,-53.417332,148.614365,-15.618075,0.312852,0.488466,-0.456606,0.674563,-39.673977,115.701569,-13.16385,0.284001,0.824728,0.432056,-0.229118,-38.854286,99.783463,2.999378
0.058,-0.375078,-0.231523,0.896547,0.043774,-85.978905,150.605072,0.468269,-0.256306,-0.428303,0.866524,0.000585,-98.677101,120.344673,12.703805,0.873455,0.296837,0.068522,-0.379827,-95.750183,101.89991,29.297331,0.691242,-0.25249,0.673674,0.067803,-53.378689,148.621658,-15.456989,0.308016,0.484872,-0.45259,0.682046,-39.400845,115.866982,-12.624012,0.267094,0.835901,0.423661,-0.224594,-38.738136,100.160156,3.790544
0.066,-0.378541,-0.230289,0.89545,0.042939,-86.038292,150.612503,0.425483,-0.257352,-0.423048,0.86879,-0.002227,-98.787483,120.529686,12.916562,0.877907,0.296696,0.067147,-0.369786,-95.874199,102.375938,29.821676,0.688642,-0.250802,0.677139,0.065983,-53.314938,148.62941,-15.290727,0.308198,0.478749,-0.452661,0.68623,-39.161827,116.049614,-12.074077,0.262625,0.839687,0.422219,-0.218369,-38.570316,100.584373,4.547852
0.075,-0.381251,-0.22876,0.894711,0.04252,-86.092361,150.619644,0.390249,-0.258575,-0.416471,0.871591,-0.004428,-98.902802,120.736435,13.156239,0.881718,0.296615,0.063406,-0.361347,-96.000267,102.910614,30.395594,0.687608,-0.249812,0.678633,0.065166,-53.231365,148.646988,-15.141594,0.306758,0.472231,-0.450916,0.692512,-38.883076,116.266586,-11.476731,0.255177,0.846241,0.41745,-0.210941,-38.358814,101.065353,5.388309
