Format Version,1.23,Take Name,Take 2024-01-26 09.52.07 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-26 09.52.08.057 上午,Capture Start Frame,37478,Total Frames in Take,346,Total Exported Frames,346,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,shoulder,shoulder,shoulder,shoulder,shoulder,shoulder,shoulder,shoulder:Marker1,shoulder:Marker1,shoulder:Marker1,shoulder:Marker2,shoulder:Marker2,shoulder:Marker2,shoulder:Marker3,shoulder:Marker3,shoulder:Marker3,shoulder:Marker4,shoulder:Marker4,shoulder:Marker4,elbow,elbow,elbow,elbow,elbow,elbow,elbow,elbow:Marker1,elbow:Marker1,elbow:Marker1,elbow:Marker2,elbow:Marker2,elbow:Marker2,elbow:Marker3,elbow:Marker3,elbow:Marker3,elbow:Marker4,elbow:Marker4,elbow:Marker4,wrist,wrist,wrist,wrist,wrist,wrist,wrist,wrist:Marker1,wrist:Marker1,wrist:Marker1,wrist:Marker2,wrist:Marker2,wrist:Marker2,wrist:Marker3,wrist:Marker3,wrist:Marker3,wrist:Marker4,wrist:Marker4,wrist:Marker4,elbow:Marker1,elbow:Marker1,elbow:Marker1,elbow:Marker2,elbow:Marker2,elbow:Marker2,elbow:Marker3,elbow:Marker3,elbow:Marker3,elbow:Marker4,elbow:Marker4,elbow:Marker4,shoulder:Marker1,shoulder:Marker1,shoulder:Marker1,shoulder:Marker2,shoulder:Marker2,shoulder:Marker2,shoulder:Marker3,shoulder:Marker3,shoulder:Marker3,shoulder:Marker4,shoulder:Marker4,shoulder:Marker4,wrist:Marker1,wrist:Marker1,wrist:Marker1,wrist:Marker2,wrist:Marker2,wrist:Marker2,wrist:Marker3,wrist:Marker3,wrist:Marker3,wrist:Marker4,wrist:Marker4,wrist:Marker4
,ID,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,6F078786BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,7CE43158BAA011EE20BCEA1B09BCBFA4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,F6AD2D2CBBEC11EE20BCEA1B09BCC2A4,"82C1F329BBED11EE20BCEA1B09BCC2A4","82C1F329BBED11EE20BCEA1B09BCC2A4","82C1F329BBED11EE20BCEA1B09BCC2A4","82C1F328BBED11EE20BCEA1B09BCC2A4","82C1F328BBED11EE20BCEA1B09BCC2A4","82C1F328BBED11EE20BCEA1B09BCC2A4","82C1F325BBED11EE20BCEA1B09BCC2A4","82C1F325BBED11EE20BCEA1B09BCC2A4","82C1F325BBED11EE20BCEA1B09BCC2A4","82C1F321BBED11EE20BCEA1B09BCC2A4","82C1F321BBED11EE20BCEA1B09BCC2A4","82C1F321BBED11EE20BCEA1B09BCC2A4","82C1F320BBED11EE20BCEA1B09BCC2A4","82C1F320BBED11EE20BCEA1B09BCC2A4","82C1F320BBED11EE20BCEA1B09BCC2A4","82C1F327BBED11EE20BCEA1B09BCC2A4","82C1F327BBED11EE20BCEA1B09BCC2A4","82C1F327BBED11EE20BCEA1B09BCC2A4","82C1F322BBED11EE20BCEA1B09BCC2A4","82C1F322BBED11EE20BCEA1B09BCC2A4","82C1F322BBED11EE20BCEA1B09BCC2A4","82C1F323BBED11EE20BCEA1B09BCC2A4","82C1F323BBED11EE20BCEA1B09BCC2A4","82C1F323BBED11EE20BCEA1B09BCC2A4","82C1F324BBED11EE20BCEA1B09BCC2A4","82C1F324BBED11EE20BCEA1B09BCC2A4","82C1F324BBED11EE20BCEA1B09BCC2A4","82C1F32ABBED11EE20BCEA1B09BCC2A4","82C1F32ABBED11EE20BCEA1B09BCC2A4","82C1F32ABBED11EE20BCEA1B09BCC2A4","82C1F326BBED11EE20BCEA1B09BCC2A4","82C1F326BBED11EE20BCEA1B09BCC2A4","82C1F326BBED11EE20BCEA1B09BCC2A4","82C1F32BBBED11EE20BCEA1B09BCC2A4","82C1F32BBBED11EE20BCEA1B09BCC2A4","82C1F32BBBED11EE20BCEA1B09BCC2A4"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.959781,-0.087159,-0.179811,0.197212,-70.520279,152.869049,30.913073,-66.247108,152.213943,24.761551,-63.526482,155.554123,32.668934,-74.884506,153.137451,35.930916,-77.423042,150.570679,30.290890,0.518741,-0.175051,-0.420201,0.723669,-84.476402,127.995697,17.864828,-87.072548,133.093491,22.439821,-90.936974,129.580215,18.184183,-82.920197,122.506104,12.674837,-76.975883,126.802971,18.160450,0.682754,0.510196,-0.211475,-0.478358,-103.612198,117.474808,7.117793,-101.977470,120.222137,7.308153,-105.768410,114.962090,5.993919,-105.686165,119.815315,5.954720,-101.016762,114.899651,9.214391,-87.027893,133.094910,22.442392,-90.967232,129.571716,18.173370,-82.907417,122.529472,12.692647,-76.983124,126.769112,18.144226,-66.241524,152.213669,24.720085,-63.608128,155.528839,32.750706,-74.844490,153.169769,35.944214,-77.427383,150.553284,30.283117,-102.016899,120.095482,7.445529,-105.814972,114.868073,6.180042,-105.647682,119.910172,5.806401,-100.973618,115.035057,9.065244
1,0.008000,0.959834,-0.087198,-0.179753,0.196987,-70.521484,152.869064,30.912907,-66.247253,152.216064,24.761892,-63.527679,155.552521,32.671211,-74.886604,153.135849,35.930058,-77.424416,150.571808,30.288462,0.518877,-0.175262,-0.420768,0.723190,-84.474220,127.992538,17.863434,-87.063271,133.090668,22.442072,-90.932579,129.585831,18.183922,-82.925659,122.504494,12.669516,-76.975372,126.789139,18.158203,0.683641,0.507299,-0.216430,-0.477955,-103.615479,117.479218,7.132531,-101.979378,120.227959,7.287475,-105.781219,114.957901,6.046899,-105.699745,119.810692,5.969715,-101.001572,114.920280,9.226047,-87.029823,133.095428,22.441677,-90.968277,129.572113,18.173138,-82.909271,122.530571,12.691426,-76.984100,126.769493,18.145269,-66.242805,152.215256,24.717991,-63.607079,155.528915,32.752113,-74.845139,153.169983,35.940514,-77.426933,150.553528,30.282450,-102.023872,120.103981,7.478117,-105.816017,114.872131,6.179067,-105.648277,119.908653,5.807134,-100.975967,115.032997,9.067809
2,0.016000,0.959764,-0.086921,-0.179905,0.197311,-70.521072,152.870056,30.914047,-66.249428,152.216309,24.761314,-63.527958,155.558472,32.667572,-74.883919,153.136963,35.933167,-77.422974,150.568512,30.294136,0.518948,-0.175227,-0.420763,0.723151,-84.475090,127.994171,17.862791,-87.064453,133.091431,22.442230,-90.933517,129.587173,18.183372,-82.926186,122.507080,12.667978,-76.976204,126.791000,18.157562,0.684813,0.509491,-0.211145,-0.476307,-103.614899,117.479500,7.116144,-101.973785,120.223602,7.297994,-105.774353,114.966904,5.998253,-105.679771,119.819664,5.936324,-101.031700,114.907814,9.232017,-87.031242,133.096909,22.440638,-90.969971,129.573029,18.173508,-82.910065,122.533295,12.689154,-76.983765,126.771294,18.145464,-66.243347,152.217941,24.717354,-63.607807,155.530655,32.750340,-74.845024,153.170380,35.938019,-77.427818,150.547058,30.292496,-102.021149,120.095993,7.449411,-105.815994,114.868988,6.181953,-105.648781,119.909454,5.805575,-100.974915,115.034798,9.065403
3,0.025000,0.959770,-0.086796,-0.179912,0.197333,-70.521263,152.870773,30.914413,-66.249855,152.218109,24.761408,-63.528709,155.560898,32.667507,-74.883865,153.136581,35.933811,-77.422646,150.567535,30.294928,0.518963,-0.175367,-0.420725,0.723128,-84.477463,127.994446,17.862423,-87.067505,133.092361,22.440737,-90.935814,129.588150,18.181164,-82.927773,122.506737,12.668495,-76.978790,126.790512,18.159275,0.683781,0.507175,-0.216700,-0.477764,-103.617790,117.478218,7.134418,-101.981720,120.227119,7.286986,-105.783714,114.956055,6.051120,-105.702385,119.808784,5.970400,-101.003326,114.920868,9.229176,-87.032387,133.098663,22.441441,-90.971741,129.573807,18.169884,-82.911896,122.531654,12.689283,-76.987495,126.771637,18.146870,-66.243347,152.220062,24.717030,-63.608627,155.532562,32.749767,-74.845078,153.170258,35.938499,-77.427551,150.545898,30.293646,-102.028320,120.105423,7.477906,-105.817818,114.866638,6.183443,-105.648888,119.912193,5.804497,-100.976685,115.033791,9.065125
4,0.033000,0.959796,-0.086708,-0.179973,0.197187,-70.520554,152.870590,30.915237,-66.249802,152.220398,24.761509,-63.528049,155.560822,32.668407,-74.882584,153.134293,35.935234,-77.421776,150.566879,30.295792,0.518988,-0.175234,-0.420740,0.723134,-84.477905,127.995598,17.861160,-87.067726,133.092514,22.440720,-90.936401,129.588425,18.181370,-82.928490,122.508858,12.666130,-76.979019,126.792595,18.156403,0.683876,0.509322,-0.212434,-0.477259,-103.612457,117.489037,7.103826,-101.974998,120.235535,7.282509,-105.771683,114.973999,5.991002,-105.684837,119.826950,5.932718,-101.018318,114.919640,9.209085,-87.033524,133.098083,22.440920,-90.973099,129.574936,18.170492,-82.912239,122.534012,12.687467,-76.986580,126.772758,18.143120,-66.243622,152.222214,24.716551,-63.606937,155.532974,32.751102,-74.843475,153.168304,35.939987,-77.426651,150.545135,30.294334,-102.022888,120.096039,7.447077,-105.818512,114.871727,6.180034,-105.651810,119.911560,5.805009,-100.976959,115.033066,9.068408
5,0.041000,0.959808,-0.086651,-0.180020,0.197113,-70.521072,152.869431,30.916512,-66.250862,152.220612,24.762262,-63.528587,155.559799,32.669487,-74.882645,153.131943,35.936974,-77.422195,150.565369,30.297323,0.518950,-0.175244,-0.420723,0.723168,-84.478966,127.996780,17.861372,-87.068886,133.094101,22.440428,-90.937492,129.589432,18.181490,-82.929436,122.509537,12.666898,-76.980034,126.794037,18.156654,0.684105,0.509532,-0.211725,-0.477022,-103.612587,117.486908,7.104308,-101.973976,120.232498,7.286201,-105.771446,114.973297,5.987551,-105.681976,119.826210,5.930706,-101.022972,114.915588,9.212786,-87.034920,133.100067,22.440477,-90.974579,129.575562,18.170700,-82.913086,122.534988,12.688158,-76.987442,126.774094,18.143646,-66.244568,152.221817,24.716940,-63.607685,155.533066,32.750721,-74.842430,153.166275,35.943378,-77.426849,150.544388,30.294621,-102.021729,120.095238,7.444106,-105.817123,114.868988,6.180241,-105.651047,119.912590,5.804593,-100.976540,115.033569,9.066105
